gender,count,date
Female,196,2014-01-01
Female,174,2015-01-01
Female,257,2016-01-01
Female,265,2017-01-01
Female,274,2018-01-01
Female,167,2014-02-01
Female,171,2015-02-01
Female,214,2016-02-01
Female,238,2017-02-01
Female,220,2018-02-01
Female,1,2014-03-01
Female,234,2015-03-01
Female,247,2016-03-01
Female,306,2017-03-01
Female,267,2018-03-01
Female,176,2014-04-01
Female,208,2015-04-01
Female,235,2016-04-01
Female,267,2017-04-01
Female,186,2014-05-01
Female,257,2015-05-01
Female,243,2016-05-01
Female,276,2017-05-01
Female,187,2014-06-01
Female,201,2015-06-01
Female,224,2016-06-01
Female,271,2017-06-01
Female,261,2014-07-01
Female,242,2015-07-01
Female,257,2016-07-01
Female,283,2017-07-01
Female,240,2014-08-01
Female,218,2015-08-01
Female,271,2016-08-01
Female,248,2017-08-01
Female,233,2014-09-01
Female,230,2015-09-01
Female,251,2016-09-01
Female,240,2017-09-01
Female,206,2014-10-01
Female,242,2015-10-01
Female,257,2016-10-01
Female,249,2017-10-01
Female,141,2014-11-01
Female,227,2015-11-01
Female,248,2016-11-01
Female,258,2017-11-01
Female,168,2014-12-01
Female,247,2015-12-01
Female,283,2016-12-01
Female,275,2017-12-01
Male,3362,2014-01-01
Male,2835,2015-01-01
Male,3500,2016-01-01
Male,3884,2017-01-01
Male,3570,2018-01-01
Male,2316,2014-02-01
Male,2156,2015-02-01
Male,3005,2016-02-01
Male,3269,2017-02-01
Male,2905,2018-02-01
Male,29,2014-03-01
Male,3132,2015-03-01
Male,3397,2016-03-01
Male,3534,2017-03-01
Male,3272,2018-03-01
Male,2877,2014-04-01
Male,3083,2015-04-01
Male,3281,2016-04-01
Male,3588,2017-04-01
Male,3237,2014-05-01
Male,3367,2015-05-01
Male,3345,2016-05-01
Male,3782,2017-05-01
Male,3503,2014-06-01
Male,3084,2015-06-01
Male,3242,2016-06-01
Male,3622,2017-06-01
Male,4254,2014-07-01
Male,3491,2015-07-01
Male,3454,2016-07-01
Male,3921,2017-07-01
Male,4154,2014-08-01
Male,3373,2015-08-01
Male,3652,2016-08-01
Male,3523,2017-08-01
Male,4058,2014-09-01
Male,3125,2015-09-01
Male,3362,2016-09-01
Male,3301,2017-09-01
Male,3976,2014-10-01
Male,3180,2015-10-01
Male,3629,2016-10-01
Male,3468,2017-10-01
Male,2657,2014-11-01
Male,3014,2015-11-01
Male,3519,2016-11-01
Male,3384,2017-11-01
Male,2511,2014-12-01
Male,3284,2015-12-01
Male,3742,2016-12-01
Male,3264,2017-12-01
