gender,pctg,date
Female,5.508712759977516,2014-01-01
Male,94.49128724002249,2014-01-01
Female,5.782652043868395,2015-01-01
Male,94.2173479561316,2015-01-01
Female,6.840564280010647,2016-01-01
Male,93.15943571998935,2016-01-01
Female,6.3870812243914195,2017-01-01
Male,93.61291877560858,2017-01-01
Female,7.12799167533819,2018-01-01
Male,92.8720083246618,2018-01-01
Female,6.725734997986307,2014-02-01
Male,93.27426500201369,2014-02-01
Female,7.348517404383326,2015-02-01
Male,92.65148259561667,2015-02-01
Female,6.64802733768251,2016-02-01
Male,93.3519726623175,2016-02-01
Female,6.786427145708583,2017-02-01
Male,93.21357285429141,2017-02-01
Female,7.04,2018-02-01
Male,92.96,2018-02-01
Female,3.3333333333333335,2014-03-01
Male,96.66666666666667,2014-03-01
Female,6.951871657754011,2015-03-01
Male,93.04812834224599,2015-03-01
Female,6.7782656421514815,2016-03-01
Male,93.22173435784852,2016-03-01
Female,7.96875,2017-03-01
Male,92.03125,2017-03-01
Female,7.5445040972026,2018-03-01
Male,92.4554959027974,2018-03-01
Female,5.764821487061906,2014-04-01
Male,94.23517851293809,2014-04-01
Female,6.32026739592829,2015-04-01
Male,93.67973260407172,2015-04-01
Female,6.683731513083049,2016-04-01
Male,93.31626848691695,2016-04-01
Female,6.926070038910506,2017-04-01
Male,93.07392996108949,2017-04-01
Female,5.433829973707274,2014-05-01
Male,94.56617002629272,2014-05-01
Female,7.091611479028698,2015-05-01
Male,92.9083885209713,2015-05-01
Female,6.7725752508361206,2016-05-01
Male,93.22742474916387,2016-05-01
Female,6.8013799901429275,2017-05-01
Male,93.19862000985707,2017-05-01
Female,5.067750677506775,2014-06-01
Male,94.93224932249322,2014-06-01
Female,6.1187214611872145,2015-06-01
Male,93.88127853881278,2015-06-01
Female,6.462781304096942,2016-06-01
Male,93.53721869590306,2016-06-01
Female,6.961212432571282,2017-06-01
Male,93.03878756742871,2017-06-01
Female,5.780730897009967,2014-07-01
Male,94.21926910299004,2014-07-01
Female,6.48272167157782,2015-07-01
Male,93.51727832842218,2015-07-01
Female,6.925357046618163,2016-07-01
Male,93.07464295338184,2016-07-01
Female,6.731684110371075,2017-07-01
Male,93.26831588962892,2017-07-01
Female,5.461993627674101,2014-08-01
Male,94.5380063723259,2014-08-01
Female,6.07073238652186,2015-08-01
Male,93.92926761347815,2015-08-01
Female,6.907978587815447,2016-08-01
Male,93.09202141218455,2016-08-01
Female,6.5765049058605145,2017-08-01
Male,93.42349509413948,2017-08-01
Female,5.429969704031694,2014-09-01
Male,94.57003029596831,2014-09-01
Female,6.855439642324888,2015-09-01
Male,93.14456035767512,2015-09-01
Female,6.947135344588984,2016-09-01
Male,93.05286465541101,2016-09-01
Female,6.777746399322226,2017-09-01
Male,93.22225360067777,2017-09-01
Female,4.925872788139646,2014-10-01
Male,95.07412721186036,2014-10-01
Female,7.071887784921099,2015-10-01
Male,92.9281122150789,2015-10-01
Female,6.613484302624807,2016-10-01
Male,93.38651569737519,2016-10-01
Female,6.698950766747377,2017-10-01
Male,93.30104923325263,2017-10-01
Female,5.039313795568263,2014-11-01
Male,94.96068620443174,2014-11-01
Female,7.004011107682814,2015-11-01
Male,92.99598889231719,2015-11-01
Female,6.583488186886116,2016-11-01
Male,93.41651181311389,2016-11-01
Female,7.0840197693574956,2017-11-01
Male,92.9159802306425,2017-11-01
Female,6.270996640537514,2014-12-01
Male,93.72900335946248,2014-12-01
Female,6.995185499858397,2015-12-01
Male,93.0048145001416,2015-12-01
Female,7.031055900621118,2016-12-01
Male,92.96894409937889,2016-12-01
Female,7.770556654422153,2017-12-01
Male,92.22944334557785,2017-12-01
